               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 157,             0.03847,            0.010058,           0.0088247,             0.93862,             0.97368,             0.98999,             0.66881,            0.017827,           0.0058444,           0.0031908,           0.0069112,           0.0069112,           0.0069112
                 158,            0.032383,            0.011065,            0.007133,             0.98551,                   1,               0.995,             0.70257,            0.017752,           0.0053144,           0.0029895,           0.0068914,           0.0068914,           0.0068914
                 159,             0.03238,            0.012758,            0.008959,             0.89788,             0.92105,             0.97253,             0.67754,            0.023363,           0.0052628,            0.002907,           0.0068716,           0.0068716,           0.0068716
                 160,             0.03528,            0.010348,            0.006564,             0.89788,             0.92105,             0.97253,             0.67754,            0.023363,           0.0052628,            0.002907,           0.0068518,           0.0068518,           0.0068518
                 161,            0.035878,            0.011153,             0.01347,             0.82552,             0.90108,             0.90697,             0.59996,            0.024596,            0.005274,           0.0032676,            0.006832,            0.006832,            0.006832
                 162,            0.034156,            0.012281,            0.008405,             0.98247,             0.94962,               0.995,             0.70344,            0.019599,           0.0051705,           0.0034017,           0.0068122,           0.0068122,           0.0068122
                 163,            0.035161,            0.010287,            0.009092,             0.79886,             0.89737,              0.9306,              0.5261,            0.025188,           0.0053067,           0.0027811,           0.0067924,           0.0067924,           0.0067924
                 164,            0.037633,             0.01158,           0.0096118,             0.79886,             0.89737,              0.9306,              0.5261,            0.025188,           0.0053067,           0.0027811,           0.0067726,           0.0067726,           0.0067726
                 165,            0.037999,            0.011725,           0.0066728,             0.84885,             0.94737,             0.97031,              0.5854,            0.023379,           0.0052548,           0.0025516,           0.0067528,           0.0067528,           0.0067528
                 166,            0.031226,            0.011921,           0.0044747,             0.99021,                   1,               0.995,              0.6843,            0.018466,            0.005119,           0.0025083,            0.006733,            0.006733,            0.006733
                 167,            0.034795,            0.011789,           0.0052976,             0.99257,                   1,               0.995,             0.70068,            0.017728,           0.0051028,           0.0024283,           0.0067132,           0.0067132,           0.0067132
                 168,            0.037459,            0.011183,           0.0047371,             0.99257,                   1,               0.995,             0.70068,            0.017728,           0.0051028,           0.0024283,           0.0066934,           0.0066934,           0.0066934
                 169,            0.035237,            0.010982,           0.0052565,             0.98706,                   1,               0.995,             0.72589,            0.017968,           0.0050955,           0.0023753,           0.0066736,           0.0066736,           0.0066736
                 170,            0.038267,           0.0094145,           0.0064618,             0.98791,                   1,               0.995,             0.71583,            0.015969,           0.0052577,           0.0023186,           0.0066538,           0.0066538,           0.0066538
                 171,            0.028642,           0.0098637,           0.0063825,             0.99345,                   1,               0.995,             0.71186,            0.017954,            0.005125,           0.0023969,            0.006634,            0.006634,            0.006634
                 172,            0.036458,            0.011341,           0.0047174,             0.99345,                   1,               0.995,             0.71186,            0.017954,            0.005125,           0.0023969,           0.0066142,           0.0066142,           0.0066142
                 173,            0.032222,            0.011136,           0.0045757,             0.99257,                   1,               0.995,             0.71946,            0.015053,           0.0050015,            0.002446,           0.0065944,           0.0065944,           0.0065944
                 174,            0.031482,            0.011615,           0.0086204,             0.99346,                   1,               0.995,             0.57824,            0.019113,           0.0050854,           0.0024907,           0.0065746,           0.0065746,           0.0065746
                 175,            0.033726,             0.01174,           0.0075716,             0.92117,                   1,             0.99023,             0.59886,            0.021858,           0.0050425,           0.0025851,           0.0065548,           0.0065548,           0.0065548
                 176,            0.035357,            0.011343,           0.0066446,             0.92117,                   1,             0.99023,             0.59886,            0.021858,           0.0050425,           0.0025851,            0.006535,            0.006535,            0.006535
                 177,            0.032472,            0.010982,           0.0071813,               0.897,                   1,             0.97597,             0.61871,            0.020569,           0.0050221,           0.0025814,           0.0065152,           0.0065152,           0.0065152
                 178,            0.030472,            0.010981,           0.0050164,             0.99482,                   1,               0.995,             0.70424,            0.014371,           0.0049017,           0.0025323,           0.0064954,           0.0064954,           0.0064954
                 179,            0.029424,            0.011718,            0.005288,              0.8117,                   1,             0.90953,             0.62492,            0.017711,           0.0049586,           0.0026378,           0.0064756,           0.0064756,           0.0064756
                 180,            0.033953,            0.010075,           0.0051661,              0.8117,                   1,             0.90953,             0.62492,            0.017711,           0.0049586,           0.0026378,           0.0064558,           0.0064558,           0.0064558
                 181,            0.035096,            0.010211,           0.0059431,             0.92321,                   1,             0.96314,             0.67259,            0.016655,           0.0049083,           0.0026844,            0.006436,            0.006436,            0.006436
                 182,            0.031036,             0.01266,            0.011467,             0.99537,                   1,               0.995,             0.71734,            0.014592,           0.0048138,           0.0024468,           0.0064162,           0.0064162,           0.0064162
                 183,            0.032658,            0.010448,           0.0052817,             0.99501,                   1,               0.995,             0.68522,            0.017037,            0.004893,           0.0024156,           0.0063964,           0.0063964,           0.0063964
                 184,            0.028915,            0.011309,           0.0035874,             0.99501,                   1,               0.995,             0.68522,            0.017037,            0.004893,           0.0024156,           0.0063766,           0.0063766,           0.0063766
                 185,            0.026423,            0.010464,           0.0044927,             0.99493,                   1,               0.995,             0.71381,            0.015794,           0.0049104,           0.0023012,           0.0063568,           0.0063568,           0.0063568
